Depth,Category,Parent Category,Content Title,Content Type,Status,2019 Hits,URL,Last Modified,Publish Date,Expire Date
1,Press Releases,Media,"TriMet, City of Portland and School Districts Will Provide Free Transit Passes for Low-Income Students in Portland Public, David Douglas and Parkrose High Schools",Text,Active,357,https://www.portlandoregon.gov/wheeler/article/687327,7/26/2018 9:21,6/11/2018 11:47,
1,Press Releases,Media,City of Portland and Downtown Clean & Safe partner to bring new garbage cans to downtown Portland this summer,Text,Active,283,https://www.portlandoregon.gov/wheeler/article/686089,5/30/2018 14:52,5/30/2018 14:23,
1,Press Releases,,Mayor Wheeler’s Message on the Proposed Budget,Text,Active,314,https://www.portlandoregon.gov/wheeler/article/683904,5/10/2018 19:23,5/10/2018 19:18,
1,Press Releases,,City of Portland to Achieve Platinum Certification for Open Data Efforts,Text,Active,354,https://www.portlandoregon.gov/wheeler/article/683147,5/7/2018 12:04,5/7/2018 12:03,
1,Press Releases,,Mayor Wheeler Announces Record Investments in Homeless Services,Text,Active,1215,https://www.portlandoregon.gov/wheeler/article/682231,4/30/2018 14:19,4/30/2018 14:17,
1,Press Releases,,Statement by Mayor Ted Wheeler on Officer Involved Shooting,Text,Active,249,https://www.portlandoregon.gov/wheeler/article/679568,4/8/2018 20:12,4/8/2018 20:08,
1,Press Releases,,Community Forum on Public Safety and the DOJ Settlement Agreement,Text,Active,375,https://www.portlandoregon.gov/wheeler/article/677588,3/22/2018 15:21,3/22/2018 15:17,
1,Press Releases,,"Wednesday, February 28, 2018 at the Bureau of Developmental Services Building - UPDATED",Binary (application/pdf),Active,205,https://www.portlandoregon.gov/wheeler/article/674598,2/27/2018 8:53,2/27/2018 8:52,
1,Press Releases,,City Request for PCCEP Facilitator,Text,Active,285,https://www.portlandoregon.gov/wheeler/article/674093,2/21/2018 15:38,2/21/2018 15:34,
1,Press Releases,,Forum on Public Safety and the DOJ Settlement Agreement,Binary (application/vnd.openxmlformats-officedocument.wordprocessingml.document),Active,305,https://www.portlandoregon.gov/wheeler/article/673710,2/16/2018 11:24,2/16/2018 11:24,
1,Press Releases,,Smart Affordable Housing Investments by Portland Deliver More Bang for the Buck,Text,Active,784,https://www.portlandoregon.gov/wheeler/article/668009,1/4/2018 13:09,1/4/2018 12:17,
1,Press Releases,,Letter to Portlanders on the end of 2017,Text,Active,244,https://www.portlandoregon.gov/wheeler/article/666845,12/20/2017 10:28,12/20/2017 10:24,
1,Press Releases,Media,"Portland, Multnomah County announce the opening of new seasonal shelter for homeless men inside downtown’s Mead Building",Binary (application/pdf),Active,296,https://www.portlandoregon.gov/wheeler/article/663712,11/20/2017 12:22,11/20/2017 12:21,
1,Press Releases,Media,"Mayor Wheeler, Friends of Baseball, MLB To Host Second Annual Play Ball Portland Clinic",Text,Active,269,https://www.portlandoregon.gov/wheeler/article/691620,7/19/2018 9:57,7/19/2018 9:56,
1,Press Releases,Media,City Council Approves Increase For Vacation and Dependent Care Leave for City Employees,Text,Active,1449,https://www.portlandoregon.gov/wheeler/article/692007,11/6/2018 9:53,7/24/2018 10:17,
1,Press Releases,Media,City Council To Vote On Portland’s First Rental Registration System,Text,Active,362,https://www.portlandoregon.gov/wheeler/article/692173,7/26/2018 9:55,7/25/2018 9:23,
1,Press Releases,Media,"Rental registration program, increased funding for homelessness and affordable housing initiatives.",Text,Active,286,https://www.portlandoregon.gov/wheeler/article/692175,9/5/2018 9:36,7/25/2018 9:56,
1,Press Releases,Media,"Mayor Wheeler, Chair Kafoury, Portland Housing Bureau to Announce Partnership to Fund Innovative Supportive Housing Pilot",Text,Active,456,https://www.portlandoregon.gov/wheeler/article/692351,7/26/2018 14:34,7/26/2018 14:32,
1,Press Releases,Media,Mayor Wheeler and Chair Kafoury Announce Funding Availability for Innovative Supportive Housing Pilot,Text,Active,330,https://www.portlandoregon.gov/wheeler/article/692514,7/27/2018 16:12,7/27/2018 16:11,
1,Press Releases,Media,Statement by Mayor Ted Wheeler on Planned Saturday Demonstrations,Text,Active,348,https://www.portlandoregon.gov/wheeler/article/693100,8/6/2018 15:53,8/3/2018 10:57,
1,Press Releases,Media,Statement by Mayor Wheeler on Saturday Demonstrations,Text,Active,389,https://www.portlandoregon.gov/wheeler/article/693351,8/6/2018 15:52,8/6/2018 15:52,
1,Press Releases,Media,"An innovative disaster resiliency hub, an agreement with Prosper Portland and approval for affordable housing units",Text,Active,266,https://www.portlandoregon.gov/wheeler/article/693533,9/5/2018 9:34,8/8/2018 8:59,
1,Press Releases,Media,"City of Portland, PSU, PGE and MIT Partnering on First-Ever Emergency Preparedness Hub",Text,Active,279,https://www.portlandoregon.gov/wheeler/article/693579,8/8/2018 12:33,8/8/2018 12:33,
