CATEGORY_NAME,CONTENT_ID,CONTENT_NAME,CONTENT_TYPE,DEPTH,EXPIRE_DATE,LAST_UPDATED_DATE,PUBLISH_DATE,STATUS,SUMMARY_TEXT,TEXT,URL
2019 Reports (Weekly),738419,"July 22, 2019 to July 28, 2019 Land Use Review Intakes",B,2,,2019-07-29 16:49:30 UTC,2019-07-29 16:49:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738419
2019 Reports (Weekly),738420,"July 22, 2019 to July 28, 2019 Issued Commercial Building Permits",B,2,,2019-07-29 16:50:41 UTC,2019-07-29 16:50:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738420
2019 Reports (Weekly),738421,"July 22, 2019 to July 28, 2019 Commercial Building Permit Intakes",B,2,,2019-07-29 16:51:06 UTC,2019-07-29 16:50:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738421
2019 Reports (Monthly),738894,June 2019 Issued Residential Permits,B,2,,2019-08-02 14:54:48 UTC,2019-08-02 14:54:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738894
2019 Reports (Monthly),738895,June 2019 Residential Permit Intakes,B,2,,2019-08-02 14:55:04 UTC,2019-08-02 14:54:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738895
2019 Reports (Monthly),738896,June 2019 Issued Facility Permits,B,2,,2019-08-02 14:55:19 UTC,2019-08-02 14:55:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738896
2019 Reports (Monthly),738897,June 2019 Facility Permit Intakes,B,2,,2019-08-02 14:55:41 UTC,2019-08-02 14:55:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738897
2019 Reports (Monthly),738898,June 2019 Land Use Review Intakes,B,2,,2019-08-02 14:55:54 UTC,2019-08-02 14:55:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738898
2019 Reports (Monthly),738899,June 2019 Issued Commercial Building Permits,B,2,,2019-08-02 14:56:07 UTC,2019-08-02 14:55:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738899
2019 Reports (Monthly),738900,June 2019 Commercial Building Permit Intakes,B,2,,2019-08-02 14:56:23 UTC,2019-08-02 14:56:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738900
2019 Reports (Monthly),738901,July 2019 Issued Residential Permits,B,2,,2019-08-02 14:57:07 UTC,2019-08-02 14:56:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738901
2019 Reports (Monthly),738902,July 2019 Residential Permit Intakes,B,2,,2019-08-02 14:57:21 UTC,2019-08-02 14:57:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738902
2019 Reports (Monthly),738903,July 2019 Issued Facility Permits,B,2,,2019-08-02 14:57:33 UTC,2019-08-02 14:57:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738903
2019 Reports (Monthly),738904,July 2019 Facility Permit Intakes,B,2,,2019-08-02 14:57:47 UTC,2019-08-02 14:57:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738904
2019 Reports (Monthly),738905,July 2019 Land Use Review Intakes,B,2,,2019-08-02 14:58:00 UTC,2019-08-02 14:57:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738905
2019 Reports (Monthly),738906,July 2019 Issued Commercial Building Permits,B,2,,2019-08-02 14:58:15 UTC,2019-08-02 14:58:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738906
2019 Reports (Monthly),738907,July 2019 Commercial Building Permit Intakes,B,2,,2019-08-02 14:58:26 UTC,2019-08-02 14:58:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/738907
2019 Reports (Weekly),739028,"July 29, 2019 to August 4, 2019 Issued Residential Permits",B,2,,2019-08-05 16:22:20 UTC,2019-08-05 16:22:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739028
2019 Reports (Weekly),739029,"July 29, 2019 to August 4, 2019 Residential Permit Intakes",B,2,,2019-08-05 16:22:34 UTC,2019-08-05 16:22:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739029
2019 Reports (Weekly),739030,"July 29, 2019 to August 4, 2019 Issued Facility Permits",B,2,,2019-08-05 16:22:47 UTC,2019-08-05 16:22:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739030
2019 Reports (Weekly),739032,"July 29, 2019 to August 4, 2019 Facility Permit Intakes",B,2,,2019-08-05 16:23:03 UTC,2019-08-05 16:22:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739032
2019 Reports (Weekly),739033,"July 29, 2019 to August 4, 2019 Land Use Review Intakes",B,2,,2019-08-05 16:23:19 UTC,2019-08-05 16:23:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739033
2019 Reports (Weekly),739034,"July 29, 2019 to August 4, 2019 Issued Commercial Building Permits",B,2,,2019-08-05 16:23:35 UTC,2019-08-05 16:23:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739034
2019 Reports (Weekly),739036,"July 29, 2019 to August 4, 2019 Commercial Building Permit Intakes",B,2,,2019-08-05 16:23:54 UTC,2019-08-05 16:23:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739036
2019 Reports (Weekly),739595,"August 5, 2019 to August 11, 2019 Issued Residential Permits",B,2,,2019-08-12 15:29:41 UTC,2019-08-12 15:28:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739595
2019 Reports (Weekly),739596,"August 5, 2019 to August 11, 2019 Residential Permit Intakes",B,2,,2019-08-12 15:29:57 UTC,2019-08-12 15:29:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739596
2019 Reports (Weekly),739597,"August 5, 2019 to August 11, 2019 Issued Facility Permits",B,2,,2019-08-12 15:30:18 UTC,2019-08-12 15:30:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739597
2019 Reports (Weekly),739598,"August 5, 2019 to August 11, 2019 Facility Permit Intakes",B,2,,2019-08-12 15:30:32 UTC,2019-08-12 15:30:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739598
2019 Reports (Weekly),739599,"August 5, 2019 to August 11, 2019 Land Use Review Intakes",B,2,,2019-08-12 15:30:49 UTC,2019-08-12 15:30:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739599
2019 Reports (Weekly),739600,"August 5, 2019 to August 11, 2019 Issued Commercial Building Permits",B,2,,2019-08-12 15:31:07 UTC,2019-08-12 15:30:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739600
2019 Reports (Weekly),739601,"August 5, 2019 to August 11, 2019 Commercial Building Permit Intakes",B,2,,2019-08-12 15:32:03 UTC,2019-08-12 15:31:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/739601
2019 Reports (Weekly),740080,"August 12, 2019 to August 18, 2019 Issued Residential Permits",B,2,,2019-08-19 18:07:41 UTC,2019-08-19 18:06:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740080
2019 Reports (Weekly),740082,"August 12, 2019 to August 18, 2019 Residential Permit Intakes",B,2,,2019-08-19 18:10:04 UTC,2019-08-19 18:09:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740082
2019 Reports (Weekly),740083,"August 12, 2019 to August 18, 2019 Issued Facility Permits",B,2,,2019-08-19 18:10:25 UTC,2019-08-19 18:10:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740083
2019 Reports (Weekly),740084,"August 12, 2019 to August 18, 2019 Facility Permit Intakes",B,2,,2019-08-19 18:10:54 UTC,2019-08-19 18:10:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740084
2019 Reports (Weekly),740085,"August 12, 2019 to August 18, 2019 Land Use Review Intakes",B,2,,2019-08-19 18:11:13 UTC,2019-08-19 18:11:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740085
2019 Reports (Weekly),740088,"August 12, 2019 to August 18, 2019 Issued Commercial Building Permits",B,2,,2019-08-19 18:14:00 UTC,2019-08-19 18:13:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740088
2019 Reports (Weekly),740089,"August 12, 2019 to August 18, 2019 Commercial Building Permit Intakes",B,2,,2019-08-19 18:14:13 UTC,2019-08-19 18:14:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740089
2019 Reports (Weekly),740572,"August 19, 2019 to August 25, 2019 Issued Residential Permits",B,2,,2019-08-26 16:28:03 UTC,2019-08-26 16:27:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740572
2019 Reports (Weekly),740573,"August 19, 2019 to August 25, 2019 Residential Permit Intakes",B,2,,2019-08-26 16:28:17 UTC,2019-08-26 16:28:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740573
2019 Reports (Weekly),740574,"August 19, 2019 to August 25, 2019 Issued Facility Permits",B,2,,2019-08-26 16:28:35 UTC,2019-08-26 16:28:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740574
2019 Reports (Weekly),740578,"August 19, 2019 to August 25, 2019 Facility Permit Intakes",B,2,,2019-08-26 16:29:27 UTC,2019-08-26 16:29:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740578
2019 Reports (Weekly),740579,"August 19, 2019 to August 25, 2019 Land Use Review Intakes",B,2,,2019-08-26 16:29:42 UTC,2019-08-26 16:29:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740579
2019 Reports (Weekly),740580,"August 19, 2019 to August 25, 2019 Issued Commercial Building Permits",B,2,,2019-08-26 16:30:06 UTC,2019-08-26 16:29:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740580
2019 Reports (Weekly),740581,"August 19, 2019 to August 25, 2019 Commercial Building Permit Intakes",B,2,,2019-08-26 16:30:25 UTC,2019-08-26 16:30:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740581
2019 Reports (Monthly),740997,August 2019 Issued Residential Permits,B,2,,2019-09-03 16:00:49 UTC,2019-09-03 16:00:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740997
2019 Reports (Monthly),740998,August 2019 Residential Permit Intakes,B,2,,2019-09-03 16:01:13 UTC,2019-09-03 16:01:00 UTC,A,,,https://www.portlandoregon.gov/bds/article/740998
